title,paperback_price,cover_image,authors,rating_product,rating_amount
"Learning Python, 5th Edition",42.95,"https://images-na.ssl-images-amazon.com/images/I/41nRJEUxePS._SX379_BO1,204,203,200_.jpg",Visit Amazon's Mark Lutz Page,4.5 out of 5,"1,462"
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Books in 1",19.90,https://m.media-amazon.com/images/I/514wmBQaf9L._SX260_.jpg,TechExp Academy,4.4 out of 5,227
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",21.49,"https://images-na.ssl-images-amazon.com/images/I/51j89lmxnpL._SX377_BO1,204,203,200_.jpg",Visit Amazon's Eric Matthes Page,4.7 out of 5,"5,840"
Object-Oriented Python: Master OOP by Building Games and GUIs,29.99,"https://images-na.ssl-images-amazon.com/images/I/5190KLynsML._SX376_BO1,204,203,200_.jpg",Visit Amazon's Irv Kalb Page,5.0 out of 5,1
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",from 29.73,"https://images-na.ssl-images-amazon.com/images/I/51Vy7aDz81L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Visit Amazon's Al Sweigart Page,4.7 out of 5,"1,917"
Python Programming for Beginners: The Ultimate Guide for Beginners to Learn Python Programming: Crash Course on Python Programming for Beginners (Python Programming Books),16.99,"https://images-na.ssl-images-amazon.com/images/I/51vB-qSMyDS._SX398_BO1,204,203,200_.jpg",Visit Amazon's AMZ Publishing Page,4.5 out of 5,147
The Big Book of Small Python Projects: 81 Easy Practice Programs,26.32,"https://images-na.ssl-images-amazon.com/images/I/51eLNoOpXhL._SX376_BO1,204,203,200_.jpg",Visit Amazon's Al Sweigart Page,4.5 out of 5,72
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",25.00,"https://images-na.ssl-images-amazon.com/images/I/51HuYEwAl2L._SX379_BO1,204,203,200_.jpg",Visit Amazon's Wes McKinney Page,4.6 out of 5,"1,277"
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",26.44 - 68.58,"https://images-na.ssl-images-amazon.com/images/I/41GfVFXxViL._SX381_BO1,204,203,200_.jpg","Paul Deitel, Harvey Deitel",4.6 out of 5,220
Python Tricks: A Buffet of Awesome Python Features,29.99,"https://images-na.ssl-images-amazon.com/images/I/418fhXtvPML._SX331_BO1,204,203,200_.jpg",Visit Amazon's Dan Bader Page,4.7 out of 5,"1,056"
"Python Cookbook, Third Edition",24.99 - 28.29,"https://images-na.ssl-images-amazon.com/images/I/51jrF94LNsL._SX379_BO1,204,203,200_.jpg","David Beazley, Visit Amazon's Brian K. Jones Page",4.6 out of 5,475
Python Data Science Handbook: Essential Tools for Working with Data,37.50 - 39.85,"https://images-na.ssl-images-amazon.com/images/I/51l3Ym7phxL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Jake VanderPlas Page,4.6 out of 5,483
Python Programming Language,7.95,"https://images-na.ssl-images-amazon.com/images/I/51xRqcQ+7hL._SY498_BO1,204,203,200_.jpg",Berajah Jayne,4.7 out of 5,910
Python: 3 Manuscripts in 1 book: - Python Programming For Beginners - Python Programming For Intermediates - Python Programming for Advanced,27.97,https://m.media-amazon.com/images/I/5166RlcIX+L.jpg,"Visit Amazon's Maurice J. Thompson Page, Python Language",4.3 out of 5,"3,071"
Data Science for Beginners: 4 Books in 1 — Master the Basics of Python Programming and Learn The Art of Data Science with Real-World Applications to Artificial Intelligence and Machine Learning,23.97,https://m.media-amazon.com/images/I/41Clxs+r+LL.jpg,Visit Amazon's Andrew Park Page,4.6 out of 5,243
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",35.77 - 39.99,"https://images-na.ssl-images-amazon.com/images/I/51B7EfJx1KL._SX404_BO1,204,203,200_.jpg",Visit Amazon's Jaime Buelta Page,4.4 out of 5,57
The Quick Python Book,26.99 - 29.99,"https://images-na.ssl-images-amazon.com/images/I/41yCI3StseL._SX397_BO1,204,203,200_.jpg",Visit Amazon's Naomi Ceder Page,4.3 out of 5,72
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,24.34,https://m.media-amazon.com/images/I/51tS4cieppL.jpg,"Programming Languages Academy, Matthew Kinsey, FAF Publishing Ltd",4.4 out of 5,239
Python for Excel: A Modern Environment for Automation and Data Analysis,37.80,"https://images-na.ssl-images-amazon.com/images/I/51AGl9kDv3L._SX379_BO1,204,203,200_.jpg",Visit Amazon's Felix Zumstein Page,4.7 out of 5,77
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",22.03,"https://images-na.ssl-images-amazon.com/images/I/51ae+5VvLHL._SX375_BO1,204,203,200_.jpg","Visit Amazon's Justin Seitz Page, Visit Amazon's Tim Arnold Page",4.7 out of 5,133
Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),11.67,https://m.media-amazon.com/images/I/51Rb35UTXZL.jpg,"LCF Publishing, Visit Amazon's Jamie Chan Page",4.5 out of 5,"1,158"
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,12.73,"https://images-na.ssl-images-amazon.com/images/I/418LPTYa2tL._SX402_BO1,204,203,200_.jpg",Visit Amazon's Adrienne Tacke Page,4.6 out of 5,"1,241"
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition",35.62,"https://images-na.ssl-images-amazon.com/images/I/41mDqkJVTtS._SX404_BO1,204,203,200_.jpg","Visit Amazon's Stefanie Molin Page, Ken Jee",4.0 out of 5,30
Python Basics: A Practical Introduction to Python 3,35.99 - 39.99,"https://images-na.ssl-images-amazon.com/images/I/41LoDRM5qqL._SX331_BO1,204,203,200_.jpg","Visit Amazon's David Amos Page, Visit Amazon's Dan Bader Page, Visit Amazon's Joanna Jablonski Page, Fletcher Heisler",4.7 out of 5,392
Game Development Using Python,41.14 - 56.31,"https://images-na.ssl-images-amazon.com/images/I/51OlKiOaKVL._SX387_BO1,204,203,200_.jpg",James R. Parker PhD,5.0 out of 5,1 rating
Head First Python: A Brain-Friendly Guide,from 24.99,"https://images-na.ssl-images-amazon.com/images/I/513GXqfvg-L._SX433_BO1,204,203,200_.jpg",Visit Amazon's Paul Barry Page,4.5 out of 5,683
The Python Workshop: Learn to code in Python and kickstart your career in software development or data science,29.99,"https://images-na.ssl-images-amazon.com/images/I/41L8OZDhTML._SX404_BO1,204,203,200_.jpg","Visit Amazon's Andrew Bird Page, Visit Amazon's Dr Lau Cher Han Page, Visit Amazon's Mario Corchero Jimenez Page, Graham Lee, Visit Amazon's Corey Wade Page",4.6 out of 5,176
Python: 3 Books in 1: Python Basics for Beginners + Python Automation Techniques and Web Scraping + Python for Data Science and Machine Learning,49.90,https://m.media-amazon.com/images/I/51-L85XLQsL.jpg,"Andy Vickler, Helpful Matthew",4.6 out of 5,9
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition",39.99,"https://images-na.ssl-images-amazon.com/images/I/41g3C9Ad-zL._SX404_BO1,204,203,200_.jpg","Visit Amazon's Fabrizio Romano Page, Visit Amazon's Heinrich Kruger Page",4.0 out of 5,9
Python for Everybody: Exploring Data in Python 3,9.99,"https://images-na.ssl-images-amazon.com/images/I/51rxFvrAfkL._SX342_BO1,204,203,200_.jpg","Dr. Charles Russell Severance, Sue Blumenberg, Elliott Hauser, Aimee Andrion",4.6 out of 5,"2,018"
Murach's Python Programming,See all 1 versions,"https://images-na.ssl-images-amazon.com/images/I/51vUJdm6dnL._SX398_BO1,204,203,200_.jpg","Michael Urban, Visit Amazon's Joel Murach Page, Mike Murach",4.5 out of 5,189
Python Coding For Kids: The Complete Python Game Programming for Kids,38.00,https://m.media-amazon.com/images/I/514Lhgkt3DL._SY346_.jpg,"Emenwa Global, Visit Amazon's Ejike IfeanyiChukwu Page",4.0 out of 5,6
PYTHON PROGRAMMING: 3 BOOKS IN 1: The Complete guide to Learn Everything you Need to Know about Python,0.00,"https://images-na.ssl-images-amazon.com/images/I/516YCO78Y6L._SX331_BO1,204,203,200_.jpg",Visit Amazon's Clive Campbell Page,4.4 out of 5,145
Python Pocket Reference: Python In Your Pocket (Pocket Reference (O'Reilly)),15.21,"https://images-na.ssl-images-amazon.com/images/I/51n5wdrMjcL._SX302_BO1,204,203,200_.jpg",Visit Amazon's Mark Lutz Page,4.5 out of 5,717
Introducing Python: Modern Computing in Simple Packages,23.18 - 23.99,"https://images-na.ssl-images-amazon.com/images/I/51uDSlTUPIL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Bill Lubanovic Page,4.7 out of 5,260
Python: A Lisa Emmer Historical Thriller (The Lisa Emmer Series Book 3),0.00,https://m.media-amazon.com/images/I/41yz0bnw0rL._SY346_.jpg,Visit Amazon's Rob  Swigart Page,4.0 out of 5,1 rating
"Expert Python Programming: Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",39.99,"https://images-na.ssl-images-amazon.com/images/I/5188oY8VGML._SX404_BO1,204,203,200_.jpg","Michał Jaworski, Visit Amazon's Tarek Ziadé Page",4.4 out of 5,28
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",27.00,"https://images-na.ssl-images-amazon.com/images/I/51GcXOrWROL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Aurélien Géron Page,4.8 out of 5,"2,608"
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",16.96,"https://images-na.ssl-images-amazon.com/images/I/51NfalwJmBL._SX376_BO1,204,203,200_.jpg",Visit Amazon's Julien Danjou Page,4.7 out of 5,285
Python All-in-One For Dummies (For Dummies (Computer/Tech)),31.49,"https://images-na.ssl-images-amazon.com/images/I/51tmf-Qp5AL._SX397_BO1,204,203,200_.jpg","Visit Amazon's John C. Shovic Page, Visit Amazon's Alan Simpson Page",4.5 out of 5,94
PYTHON: PROGRAMMING: A BEGINNER’S GUIDE TO LEARN PYTHON IN 7 DAYS,9.95,https://m.media-amazon.com/images/I/41eUu1vIpaL.jpg,Visit Amazon's Ramsey Hamilton Page,4.4 out of 5,"3,024"
PYTHON FOR BEGINNERS: Enter the Real World of Python and Learn How to Think Like a Programmer,14.99,https://m.media-amazon.com/images/I/41Vmq9xbX1L.jpg,Oliver Moore,5.0 out of 5,116
"Modern Python Cookbook: 133 recipes to develop flawless and expressive programs in Python 3.8, 2nd Edition",49.99,"https://images-na.ssl-images-amazon.com/images/I/41VfljxNldL._SX404_BO1,204,203,200_.jpg",Visit Amazon's Steven F. Lott Page,4.4 out of 5,39
"Code This Game!: Make Your Game Using Python, Then Break Your Game to Create a New One!",20.68,"https://images-na.ssl-images-amazon.com/images/I/51pZf-iQebL._SX392_BO1,204,203,200_.jpg","Visit Amazon's Meg Ray Page, Visit Amazon's Odd Dot Page, Keith Zoo",4.4 out of 5,94
"Python for Beginners: Learn Python Programming With No Coding Experience in 7 Days: The Easiest & Quickest Way to Learn Python Coding, Programming, Web-Programming. Be a Python Programmer",15.97,"https://images-na.ssl-images-amazon.com/images/I/41Swk8W1j3L._SX362_BO1,204,203,200_.jpg",Visit Amazon's Santos Ozoemena Page,4.5 out of 5,48
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,24.99,"https://images-na.ssl-images-amazon.com/images/I/51MXrF8mWaL._SX331_BO1,204,203,200_.jpg",Jim Frost,4.6 out of 5,77
Data Science from Scratch: First Principles with Python,25.50 - 28.34,"https://images-na.ssl-images-amazon.com/images/I/51hY+tgxfZL._SX379_BO1,204,203,200_.jpg",Visit Amazon's Joel Grus Page,4.4 out of 5,465
